1%,1%,module,Magento_Catalog
1%,1%,module,Magento_Config
1%,1%,module,Magento_Email
1%,1%,module,Magento_Sales
1%,1%,module,Magento_Theme
1%,1%,module,Magento_Variable
1%,1%,module,Magento_Widget
1,1,module,Magento_Paypal
123,123,module,Magento_Catalog
"
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                         帳戶確認後，將發送此電子郵件來取代預設的歡迎電子郵件。 <br /> <br />
                         選擇“預設”選項時，信件樣版會使用備用主題。
",module,Magento_Customer
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","您的預設Logo將在PDF和HTML文件中使用。<br />(jpeg, tiff, png)如果你的PDF圖像失真，試試選用檔案大小較大的圖片。",module,Magento_Sales
"
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        如果客戶創建帳戶時沒有密碼，將發送此電子郵件來取代預設的歡迎電子郵件。 <br /> <br />
                        選擇“預設”選項時，信件樣版會使用備用主題。
                    ",module,Magento_Customer
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        使用分號(;)當作分隔值<br/>在第一個選項是空值的時，將分號放在起始處<br/>如果是文字欄位則留空。
                    ",module,Magento_Customer
"
                            The background color for the checkout page around the header and payment form.
                        ",     結帳頁面內的標題和付款表單周圍的的背景顏色。,module,Magento_Paypal
"
                        Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.
                    ",    商家需要向PayPal申請啟用結帳協議功能。 在PayPal確認您的商家帳戶已啟用結帳協議之前，請不要啟用此選項。,module,Magento_Paypal
"
                        Usage limit enforced for logged in customers only.
                    ",   僅對已登錄客戶來強制使用限制。,module,Magento_SalesRule
"
                    See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.
                ","  參閱PayPal功能支援細節說明和支持的區塊
                     <a href=""""https://developer.paypal.com/docs/classic/express-checkout/in-context/"""" target=""""_blank"""">在這理</a>。",module,Magento_Paypal
"
                            The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.
                        ",  結帳頁面左上角的圖片。最大尺寸為750x90像素。強烈建議使用<strong style =“”color:red“”> https </ strong>。,module,Magento_Paypal
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","  請僅在欄位中使用字母(a-z或A-Z)或數字(0-9)。 不允許使用空格或其他字符。<br />太類似的字符(例如 """"i"""", """"l"""", """"1"""")會減少了客戶正確識別的機會。",module,Magento_Captcha
